x,y
556,1360.5
560,1348
541,1361.5
537,1323
542,1331.5
535,1400
526,1331.5
476,1328
515,1391.5
542,1416
511,1383.5
484,1407
560,1375.5
494,1375
552,1375.5
554,1398
529,1404.5
535,1361
552,1363.5
514,1438
572,1393.5
559,1392
543,1380.5
585,1452
582,1373.5
525,1440
559,1404.5
544,1467
574,1387.5
531,1475
548,1434.5
555,1475
569,1440.5
562,1420
526,1475.5
575,1450
582,1434.5
551,1478
568,1489.5
531,1452
509,1458.5
585,1471
553,1433.5
571,1431
602,1458.5
583,1455
566,1495.5
599,1441
550,1467.5
522,1483
600,1504.5
586,1443
588,1446.5
614,1466
525,1507.5
555,1444
599,1451.5
544,1463
610,1526.5
615,1524
602,1511.5
592,1482
564,1556.5
628,1480
574,1517.5
560,1541
615,1562.5
621,1520
542,1504.5
567,1536
637,1539.5
602,1506
560,1564.5
583,1489
553,1569.5
570,1575
634,1534.5
554,1520
585,1556.5
641,1533
559,1524.5
555,1597
564,1600.5
590,1582
574,1581.5
583,1588
635,1562.5
651,1621
581,1612.5
612,1613
628,1561.5
629,1542
634,1564.5
595,1600
650,1618.5
658,1591
664,1595.5
605,1611
609,1579.5
654,1567
618,1569.5
656,1638
582,1593.5
605,1649
595,1651.5
647,1610
594,1611.5
630,1616
601,1613.5
637,1640
597,1632.5
592,1651
586,1588.5
615,1686
617,1608.5
599,1627
672,1647.5
655,1647
674,1601.5
625,1664
678,1614.5
595,1667
595,1620.5
649,1641
596,1630.5
686,1638
617,1624.5
639,1701
658,1652.5
676,1674
599,1674.5
682,1719
700,1685.5
691,1723
656,1665.5
652,1736
641,1650.5
613,1739
624,1713.5
629,1672
689,1720.5
704,1711
634,1696.5
645,1746
630,1676.5
645,1684
624,1734.5
672,1680
686,1719.5
713,1699
690,1774.5
689,1741
622,1760.5
674,1758
663,1714.5
667,1764
716,1783.5
653,1763
705,1711.5
678,1798
653,1737.5
643,1793
730,1779.5
726,1780
648,1755.5
676,1756
672,1782.5
734,1812
676,1726.5
651,1758
667,1786.5
644,1803
687,1817.5
680,1762
738,1779.5
665,1814
671,1778.5
704,1772
703,1801.5
693,1824
695,1793.5
661,1840
654,1820.5
677,1804
669,1803.5
728,1811
751,1799.5
723,1866
670,1831.5
677,1837
709,1871.5
692,1858
740,1874.5
715,1822
758,1887.5
671,1833
702,1864.5
742,1837
751,1800.5
751,1802
761,1813.5
766,1847
710,1872.5
707,1816
746,1820.5
738,1840
726,1868.5
727,1852
716,1828.5
743,1913
681,1854.5
759,1923
728,1841.5
766,1868
744,1858.5
715,1895
713,1871.5
780,1866
730,1930.5
711,1920
776,1893.5
733,1895
779,1953.5
712,1942
791,1950.5
712,1919
758,1967.5
791,1882
702,1953.5
740,1943
797,1904.5
772,1960
754,1950.5
799,1935
750,1961.5
720,1978
717,1953.5
783,1897
760,1996.5
740,1905
744,1955.5
717,2005
760,1963.5
773,1918
747,1917.5
739,2001
743,2016.5
779,1955
732,1984.5
799,1941
804,2026.5
720,2029
729,1963.5
771,1950
802,1973.5
740,1956
810,2019.5
791,2033
757,1975.5
820,1968
758,2023.5
782,1966
797,1974.5
827,1995
761,2040.5
781,1980
761,1969.5
798,2058
766,2037.5
738,1985
836,1995.5
815,2064
785,2024.5
762,2013
761,2054.5
838,2091
779,2040.5
754,2050
809,2002.5
834,2044
781,2038.5
757,2017
785,2078.5
848,2027
837,2110.5
778,2099
820,2070.5
772,2083
800,2061.5
845,2088
761,2110.5
820,2120
840,2054.5
803,2130
787,2067.5
799,2050
827,2086.5
836,2143
830,2115.5
779,2052
784,2141.5
804,2089
861,2109.5
865,2095
812,2144.5
868,2160
788,2123.5
858,2116
852,2097.5
816,2128
830,2152.5
791,2147
849,2165.5
795,2170
882,2166.5
819,2106
849,2163.5
832,2104
859,2190.5
828,2113
812,2191.5
847,2143
884,2148.5
873,2132
807,2185.5
865,2135
891,2153.5
879,2186
864,2221.5
798,2194
873,2164.5
833,2222
858,2166.5
851,2166
826,2229.5
896,2189
834,2193.5
841,2169
847,2217.5
851,2207
848,2220.5
835,2193
864,2219.5
864,2182
870,2168.5
901,2250
855,2190.5
842,2269
822,2201.5
896,2205
888,2249.5
847,2280
841,2247.5
843,2247
906,2205.5
891,2215
907,2286.5
837,2232
880,2262.5
836,2264
897,2299.5
928,2267
899,2285.5
841,2285
836,2301.5
888,2290
892,2300.5
859,2251
933,2268.5
880,2307
851,2238.5
895,2279
895,2300.5
876,2296
924,2281.5
917,2243
883,2315.5
859,2305
946,2271.5
932,2307
910,2344.5
930,2328
874,2262.5
852,2282
853,2306.5
906,2279
859,2276.5
915,2330
882,2368.5
875,2335
895,2369.5
920,2308
875,2357.5
899,2352
911,2310.5
884,2301
928,2294.5
898,2383
871,2332.5
926,2358
896,2314.5
938,2338
940,2337.5
913,2358
947,2372.5
879,2327
876,2384.5
965,2389
967,2350.5
910,2365
978,2334.5
880,2394
938,2366.5
930,2398
900,2346.5
953,2439
954,2382.5
914,2386
905,2419.5
973,2444
969,2396.5
944,2390
898,2402.5
892,2412
914,2449.5
982,2387
985,2409.5
930,2419
922,2457.5
959,2471
941,2409.5
991,2445
921,2404.5
956,2425
945,2481.5
934,2414
939,2479.5
914,2491
987,2407.5
952,2404
954,2488.5
932,2494
936,2466.5
947,2414
1005,2462.5
1010,2503
945,2459.5
965,2473
929,2480.5
1007,2481
967,2501.5
948,2514
978,2522.5
998,2474
1020,2459.5
963,2536
930,2458.5
1008,2529
950,2518.5
964,2467
946,2538.5
983,2556
955,2513.5
982,2498
943,2556.5
976,2525
999,2492.5
977,2493
948,2543.5
948,2537
1029,2481.5
995,2529
957,2573.5
1023,2526
1001,2506.5
950,2567
946,2505.5
1020,2575
1012,2576.5
1014,2578
1018,2565.5
984,2540
