x1,x2,y
364,8,1439.6
365,748,4180.1
366,941,4896.7
367,724,4096.3
368,380,2826
369,92,1762.9
370,237,2301.9
371,720,4091.5
372,582,3583.4
373,1000,5132.5
374,58,1649.6
375,291,2514.2
376,347,2723.9
377,385,2867
378,612,3709.4
379,849,4588.8
380,715,4095.5
381,826,4508.7
382,338,2705.6
383,800,4417.5
384,714,4101.8
385,485,3257
386,506,3337.2
387,345,2744
388,923,4885.1
389,868,4684.1
390,207,2240.9
391,490,3290.5
392,158,2064.6
393,528,3436.1
394,250,2410
395,521,3415.2
396,523,3425.1
397,962,5051.9
398,578,3633.6
399,370,2866.5
400,526,3446.2
401,815,4518
402,886,4783.2
403,455,3191
404,550,3545
405,970,5101.5
406,500,3365
407,642,3892.9
408,680,4036
409,287,2584.4
410,297,2623.9
411,45,1694
412,926,4956.2
413,521,3460.2
414,99,1901.3
415,164,2144.3
416,18,1606.6
417,303,2663.6
418,981,5174.7
419,642,3922.9
420,339,2804.3
421,675,4050
422,831,4629.7
423,220,2371.5
424,6,1582.2
425,586,3730.7
426,880,4821
427,147,2111.4
428,454,3249.8
429,619,3862.8
430,156,2152.2
431,236,2450.7
432,619,3870.3
433,979,5204.8
434,172,2221.4
435,739,4321.8
436,182,2263.4
437,535,3572
438,38,1735.6
439,841,4709.2
440,697,4178.9
441,979,5224.8
442,256,2552.2
443,248,2525.1
444,935,5069.5
445,189,2311.8
446,390,3058
447,473,3367.6
448,241,2511.7
449,245,2529
450,510,3512
451,627,3947.4
452,354,2939.8
453,408,3142.1
454,282,2678.4
455,150,2192.5
456,175,2287.5
457,661,4088.2
458,687,4186.9
459,260,2609.5
460,633,3992.1
461,258,2607.1
462,60,1877
463,632,3995.9
464,443,3299.1
465,58,1877.1
466,371,3037.7
467,362,3006.9
468,352,2972.4
469,484,3463.3
470,788,4590.6
471,764,4504.3
472,726,4366.2
473,57,1893.4
474,481,3464.7
475,385,3112
476,155,2263.5
477,148,2240.1
478,394,3152.8
479,450,3362.5
480,845,4826.5
481,12,1746.9
482,587,3876.9
483,790,4630.5
484,152,2272.4
485,655,4136
486,214,2506.8
487,981,5347.2
488,54,1919.8
489,445,3369
490,896,5040.2
491,523,3662.6
492,519,3650.3
493,140,2250.5
494,311,2885.7
495,509,3620.8
496,110,2147
497,355,3056
498,535,3724.5
499,699,4333.8
500,588,3925.6
501,130,2233.5
502,903,5096.1
503,708,4377.1
504,797,4708.9
505,243,2661.6
506,593,3959.1
507,9,1800.8
508,489,3579.3
509,24,1861.3
510,611,4035.7
511,393,3231.6
512,370,3149
513,865,4983
514,186,2473.2
515,657,4218.4
516,670,4269
517,627,4112.4
518,16,1854.2
519,725,4480
520,304,2924.8
521,789,4721.8
522,834,4890.8
523,848,4945.1
524,532,3778.4
525,625,4125
526,242,2710.4
527,451,3486.2
528,342,3085.4
529,672,4308.9
530,138,2335.6
531,691,4384.2
532,490,3643
533,998,5525.1
534,888,5120.6
535,207,2603.4
536,138,2350.6
537,428,3426.1
538,515,3750.5
539,106,2239.7
540,869,5065.3
541,450,3517.5
542,23,1940.1
543,35,1987
544,299,2966.3
545,348,3150.1
546,420,3419
547,352,3169.9
548,170,2499
549,696,4447.7
550,666,4339.2
551,214,2669.3
552,587,4051.9
553,261,2848.2
554,832,4963.4
555,521,3815.2
556,557,3950.9
557,846,5022.7
558,359,3223.3
559,696,4472.7
560,401,3383.7
561,17,1965.4
562,982,5538.4
563,627,4227.4
564,737,4636.9
565,579,4054.8
566,79,2207.3
567,907,5273.4
568,135,2419.5
569,390,3365.5
570,610,4182
571,923,5342.6
572,434,3535.8
573,72,2198.9
574,157,2515.9
575,975,5545
576,415,3475.5
577,50,2127.5
578,746,4705.2
579,332,3175.9
580,685,4484.5
581,364,3299.3
582,406,3457.2
583,678,4466.1
584,47,2133.9
585,761,4778.2
586,985,5609.5
587,130,2448.5
588,827,5029.9
589,750,4747.5
590,823,5020.1
591,705,4586
592,526,3926.2
593,426,3558.7
594,66,2229.2
595,225,2820
596,829,5057.3
597,166,2606.7
598,703,4596.1
599,749,4768.8
600,86,2318.2
601,421,3560.2
602,129,2482.3
603,969,5592.8
604,29,2117.3
605,704,4617.3
606,889,5304.3
607,212,2801.9
608,439,3644.3
609,337,3269.4
610,188,2720.6
611,530,3988.5
612,328,3243.6
613,599,4248.8
614,64,2271.8
615,685,4572
616,373,3420.1
617,216,2841.7
618,220,2859
619,674,4541.3
620,948,5557.6
621,509,3935.8
622,886,5333.2
623,708,4677.1
624,256,3007.2
625,219,2872.8
626,710,4692
627,700,4657.5
628,71,2332.7
629,698,4655.1
630,194,2792.8
631,874,5311.3
632,34,2205.8
633,135,2582
634,367,3442.9
635,483,3874.6
636,135,2589.5
637,239,2976.8
638,684,4625.8
639,873,5327.6
640,839,5204.3
641,574,4226.3
642,486,3903.2
643,114,2529.3
644,29,2217.3
645,342,3377.9
646,525,4057.5
647,456,3804.7
648,370,3489
649,774,4986.3
650,292,3205.4
651,309,3270.8
652,511,4020.7
653,692,4692.9
654,95,2486.5
655,245,3044
656,193,2854.1
657,9,2175.8
658,382,3558.4
659,308,3287.1
660,553,4196.1
661,692,4712.9
662,521,4082.7
663,804,5132.3
664,105,2548.5
665,781,5052.2
666,394,3622.8
667,936,5630.7
668,618,4456.6
669,898,5495.1
670,726,4861.2
671,128,2651.1
672,256,3127.2
673,430,3773.5
674,392,3635.4
675,389,3626.8
676,691,4746.7
677,551,4231.2
678,61,2420.7
679,213,2985.6
680,574,4323.8
681,745,4959
682,214,2996.8
683,855,5371
684,988,5865.6
685,848,5350.1
686,494,4042.8
687,60,2439.5
688,153,2786.1
689,844,5345.3
690,276,3246.2
691,586,4395.7
692,297,3328.9
693,817,5255.4
694,304,3359.8
695,185,2922
696,683,4767.1
697,908,5602.1
698,873,5475.1
699,913,5625.6
700,666,4714.2
701,121,2700.2
702,425,3827.5
703,812,5261.9
704,579,4402.3
705,557,4323.4
706,952,5787.4
707,487,4069.4
708,760,5082
709,53,2468.6
710,697,4853.9
711,389,3716.8
712,322,3471.4
713,434,3888.3
714,917,5677.9
715,163,2890.6
716,968,5871.6
717,375,3680
718,713,4933.1
719,373,3677.6
720,60,2522
721,104,2687.3
722,181,2974.7
723,964,5874.3
724,278,3338.6
725,282,3355.9
726,733,5027.1
727,340,3575.5
728,147,2863.9
729,415,3858
730,709,4948.3
731,836,5420.7
732,677,4834.9
733,351,3631.2
734,951,5853.7
735,674,4831.3
736,877,5584.9
737,162,2941.9
738,549,4376.3
739,435,3957
740,400,3830
741,617,4635.4
742,178,3013.6
743,880,5613.5
744,643,4739.1
745,244,3265.3
746,515,4270.5
747,766,5201.7
748,805,5348.5
749,906,5724.7
750,935,5834.5
751,557,4438.4
752,157,2960.9
753,658,4817.1
754,2,2392.4
755,561,4463.2
756,65,2630.5
757,702,4989.9
758,83,2702.1
759,52,2589.9
760,745,5156.5
761,979,6024.8
762,985,6049.5
763,688,4953.1
764,928,5843.6
765,582,4565.9
766,575,4542.5
767,197,3146.4
768,797,5368.9
769,706,5034.7
770,127,2894.9
771,936,5890.7
772,304,3554.8
773,875,5670
774,582,4588.4
775,809,5430.8
776,814,5451.8
777,140,2960.5
778,97,2803.9
779,754,5237.3
780,745,5206.5
781,251,3381.2
782,158,3039.6
783,162,3056.9
784,848,5597.6
785,193,3176.6
786,15,2520.5
787,791,5394.2
788,764,5296.8
789,776,5343.7
790,475,4232.5
791,244,3380.3
792,174,3123.8
793,27,2582.4
794,182,3158.4
795,57,2698.4
796,624,4798.8
797,345,3769
798,950,6010
799,454,4177.3
800,687,5041.9
801,565,4593
802,139,3019.3
803,421,4065.2
804,348,3797.6
805,697,5091.4
806,407,4020.9
807,142,3042.9
808,357,3840.9
809,588,4698.1
810,376,3916.2
811,369,3892.8
812,303,3651.1
813,107,2928.4
814,643,4914.1
815,126,3003.7
816,799,5496.3
817,259,3500.8
818,511,4435.7
819,837,5644.4
820,308,3689.6
821,677,5057.4
822,432,4153.4
823,324,3756.3
824,622,4861.4
825,919,5962.8
826,520,4489
827,380,3973.5
828,307,3705.9
829,581,4722.2
830,790,5498
831,171,3210.2
832,511,4470.7
833,231,3437.2
834,1000,6285
835,766,5421.7
836,751,5368.7
837,601,4816.2
838,464,4311.8
839,36,2730.7
840,644,4982.8
841,802,5569.9
842,346,3885.2
843,848,5745.1
844,466,4334.2
845,651,5021.2
846,51,2803.7
847,509,4500.8
848,87,2941.9
849,142,3147.9
850,193,3339.1
851,871,5850.2
852,779,5512.3
853,704,5237.3
854,927,6064.9
855,225,3470
856,189,3339.3
857,372,4018.9
858,216,3444.2
859,11,2688.2
860,674,5143.8
861,794,5590.3
862,108,3054.6
863,608,4907.1
864,464,4376.8
865,838,5763.1
866,172,3301.4
867,110,3074.5
868,553,4716.1
869,4,2687.3
870,427,4254.9
871,426,4253.7
872,38,2820.6
873,361,4018.2
874,641,5056.7
875,499,4533.8
876,278,3718.6
877,797,5641.4
878,500,4545
879,385,4122
880,857,5870.9
881,825,5755
882,513,4603.1
883,255,3651
884,253,3646.1
885,737,5439.4
886,503,4576.1
887,132,3205.9
888,28,2823.6
889,51,2911.2
890,581,4874.7
891,91,3064.2
892,909,6093.3
893,494,4560.3
894,356,4052.2
895,530,4698.5
896,609,4993.3
897,149,3293.8
898,716,5394.2
899,247,3661.4
900,924,6168.8
901,665,5213
902,236,3628.2
903,243,3656.6
904,121,3207.7
905,212,3546.9
906,992,6435.4
907,362,4106.9
908,530,4731
909,387,4204.4
910,167,3392.9
911,459,4475.8
912,844,5902.8
913,967,6360.4
914,630,5116
915,407,4293.4
916,945,6286.5
917,554,4842.3
918,172,3431.4
919,454,4477.3
920,976,6411.2
921,421,4360.2
922,564,4891.8
923,145,3344
924,813,5818.1
925,189,3511.8
926,765,5645.5
927,69,3072.8
928,68,3071.6
929,717,5475.4
930,385,4249.5
931,118,3264.1
932,1,2833.7
933,814,5844.3
934,5,2853.5
935,550,4872.5
936,991,6506.7
937,391,4289.2
938,737,5571.9
939,500,4697.5
940,65,3090.5
941,517,4765.4
942,295,3946.5
943,376,4248.7
944,921,6267.7
945,666,5326.7
946,405,4363.5
947,825,5920
948,526,4816.2
949,201,3616.2
950,640,5243
951,32,2995.9
952,471,4622.7
953,677,5387.4
954,604,5119.8
955,296,3982.7
956,645,5276.5
957,119,3332.8
958,746,5655.2
959,936,6360.7
960,122,3351.4
961,854,6062.3
962,336,4148.2
963,710,5534.5
964,393,4364.1
965,201,3656.2
966,29,3022.3
967,359,4245.8
968,903,6261.1
969,102,3299.9
970,478,4693.6
971,407,4433.4
972,593,5124.1
973,149,3483.8
974,787,5846.9
975,374,4321.3
976,886,6218.2
977,575,5070
978,803,5916.1
979,418,4494.1
980,744,5702.8
981,769,5797.8
982,815,5970.5
983,537,4944.4
984,98,3322.6
985,904,6307.3
986,785,5869.5
987,911,6338.2
988,463,4683.1
989,718,5629.1
990,938,6445.6
991,625,5290
992,546,5000.2
993,949,6493.8
994,192,3695.4
995,860,6169.5
996,323,4185.1
997,381,4402.2
998,583,5152.1
999,695,5569
1000,805,5978.5
